CAGDP1 County and MSA gross domestic product (GDP) summary
CAGDP1 County and MSA gross domestic product (GDP) summary
County
GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
06099,"Stanislaus, CA",11888546,12626096,13304371,14558723,15272366,16000680,16480104,16339710,16566707,16863100,17227041,17451114,18066528
06101,"Sutter, CA",1784534,2182899,2254985,2367837,2347806,2607327,2849018,3213490,3262616,3114607,2998287,2916026,3106074
06103,"Tehama, CA",1022126,1116071,1171881,1277281,1393984,1355558,1418579,1359296,1361106,1469802,1462524,1497683,1598751
06105,"Trinity, CA",227681,258819,283106,283492,276046,299726,304623,303054,294179,335480,355526,345075,360119
06107,"Tulare, CA",8558012,8040797,8661283,10041344,10951887,10570750,12510161,12046149,11103358,12507634,13538673,13207482,13933232
06109,"Tuolumne, CA",1347616,1621923,1688708,1755580,1905385,2034054,2025878,2005414,1996446,2107457,2260035,1970999,1999863
06111,"Ventura, CA",28659454,29863824,32210531,36011877,38778121,44114274,48712862,46223354,46893437,47051134,45989575,46223104,47728311
06113,"Yolo, CA",6977827,7242853,7675969,8327184,8715956,9145108,10003933,10262130,9970302,9905762,10346391,10684902,11416441
06115,"Yuba, CA",1498509,1658805,1809427,1821773,1907873,2086195,2142455,2270945,2338695,2383149,2570787,2572273,2725949

Legend/Footnotes
"  Metropolitan Areas are defined (geographically delineated) by the Office of Management and Budget (OMB) bulletin no. 20-01 issued March 6, 2020."
"  Last updated: December 4, 2024-- new statistics for 2023; revised statistics for 2019-2022."
