"GeoFIPS","GeoName","Region","ComponentId","ComponentName","IndustryId","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"19660","Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","1","...","All industry total",10412,10804,11440,12268,13201,14012,14590,13896,13345,13450,13112,13435,13718,14340,15124
"19660","Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","2","..."," Private industries",9138,9455,10012,10670,11611,12304,12636,11942,11398,11464,11175,11470,11788,12392,13140
"19660","Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting","(D)","(D)","(D)","(D)","(D)",128,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"19660","Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","4","111-112","   Farms",104,96,104,115,125,113,131,119,106,105,81,63,65,66,"(NA)"
"19660","Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","5","113-115","   Forestry, fishing, and related activities","(D)","(D)","(D)","(D)","(D)",15,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"19660","Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","6","21","  Mining","(D)","(D)","(D)","(D)","(D)",7,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"19660","Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","7","211","   Oil and gas extraction","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(NA)"
"19660","Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","8","212","   Mining, except oil and gas","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"19660","Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","9","213","   Support activities for mining","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"19660","Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","10","22","  Utilities","(D)",207,224,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",192,"(D)","(D)","(D)"
"19660","Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","11","23","  Construction",646,685,805,991,1217,1313,1190,903,679,595,541,571,655,710,815
"19660","Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","12","31-33","  Manufacturing",641,689,703,769,821,893,952,831,748,727,850,872,1003,1115,1157
"19660","Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","13","...","   Durable goods manufacturing",492,517,539,601,673,732,768,"(D)","(D)",557,663,674,769,884,919
"19660","Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","14","321","    Wood products manufacturing",14,12,"(D)","(D)",18,17,11,9,"(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"19660","Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","15","327","    Nonmetallic mineral products manufacturing",26,28,33,35,64,85,88,41,29,25,25,"(D)",49,"(D)","(NA)"
"19660","Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","16","331","    Primary metals manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"19660","Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","17","332","    Fabricated metal products","(D)",59,57,"(D)",63,70,64,57,65,57,71,"(D)",104,105,"(NA)"
"19660","Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","18","333","    Machinery manufacturing",61,72,71,73,96,112,120,111,87,78,80,"(D)",95,128,"(NA)"
"19660","Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","19","334","    Computer and electronic products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",116,121,139,"(D)",176,"(D)","(NA)"
"19660","Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","20","335","    Electrical equipment, appliance, and components manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",37,"(D)","(NA)"
"19660","Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","21","3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",7,"(D)","(D)","(D)",21,20,"(NA)"
"19660","Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","22","3364-3366, 3369","    Other transportation equipment manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",138,"(D)","(D)","(NA)"
