"GeoFIPS","GeoName","Region","ComponentId","ComponentName","IndustryId","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"44060","Spokane-Spokane Valley, WA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","1","...","All industry total",13736,14055,14704,15516,16773,17963,19059,19482,19391,19656,20132,20784,21333,22092,23006
"44060","Spokane-Spokane Valley, WA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","2","..."," Private industries",11404,11584,12118,12826,13982,15024,15995,16191,16006,16232,16689,17207,17806,18412,19203
"44060","Spokane-Spokane Valley, WA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting","(D)","(D)","(D)",95,80,80,84,60,54,80,102,77,94,"(D)","(D)"
"44060","Spokane-Spokane Valley, WA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","4","111-112","   Farms",35,50,74,53,36,28,32,15,19,42,65,38,56,21,"(NA)"
"44060","Spokane-Spokane Valley, WA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","5","113-115","   Forestry, fishing, and related activities","(D)","(D)","(D)",42,44,52,52,45,35,38,37,40,39,"(D)","(NA)"
"44060","Spokane-Spokane Valley, WA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","6","21","  Mining","(D)","(D)","(D)",29,52,76,100,107,97,84,100,92,95,"(D)","(D)"
"44060","Spokane-Spokane Valley, WA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","7","211","   Oil and gas extraction","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(NA)"
"44060","Spokane-Spokane Valley, WA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","8","212","   Mining, except oil and gas","(D)","(D)","(D)",22,43,68,84,94,89,"(D)","(D)","(D)","(D)",114,"(NA)"
"44060","Spokane-Spokane Valley, WA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","9","213","   Support activities for mining",6,6,6,7,8,8,17,13,8,"(D)","(D)","(D)","(D)","(D)","(NA)"
"44060","Spokane-Spokane Valley, WA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","10","22","  Utilities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"44060","Spokane-Spokane Valley, WA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","11","23","  Construction",615,580,656,761,853,966,1075,1039,924,798,766,781,834,877,931
"44060","Spokane-Spokane Valley, WA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","12","31-33","  Manufacturing",1455,1310,1356,1442,1692,1869,"(D)",1959,1901,1781,1857,1974,1990,2021,2045
"44060","Spokane-Spokane Valley, WA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","13","...","   Durable goods manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",1472,1490,1491
"44060","Spokane-Spokane Valley, WA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","14","321","    Wood products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"44060","Spokane-Spokane Valley, WA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","15","327","    Nonmetallic mineral products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",89,"(D)","(NA)"
"44060","Spokane-Spokane Valley, WA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","16","331","    Primary metals manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"44060","Spokane-Spokane Valley, WA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","17","332","    Fabricated metal products","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",247,"(NA)"
"44060","Spokane-Spokane Valley, WA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","18","333","    Machinery manufacturing",131,118,123,127,158,206,248,233,230,204,210,228,156,146,"(NA)"
