"GeoFIPS","GeoName","Region","ComponentId","ComponentName","IndustryId","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","1","...","All industry total",4835,5087,5601,6223,6984,7769,7951,7627,7002,7001,6978,7049,7317,7505,7889
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","2","..."," Private industries",4072,4303,4768,5334,6115,6832,6872,6482,5800,5706,5664,5706,6016,6406,6770
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting",99,99,82,93,73,104,75,79,68,64,61,67,70,73,77
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","4","111-112","   Farms",56,58,39,44,22,30,"(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(NA)"
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","5","113-115","   Forestry, fishing, and related activities",42,41,43,49,50,74,75,79,68,64,61,67,70,73,"(NA)"
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","6","21","  Mining",15,11,15,19,22,32,30,38,27,25,30,24,28,22,21
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","7","211","   Oil and gas extraction","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)",1,1,"(L)","(L)","(L)","(NA)"
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","8","212","   Mining, except oil and gas","(D)","(D)","(D)","(D)",19,28,26,35,"(D)",19,25,20,26,21,"(NA)"
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","9","213","   Support activities for mining","(D)","(D)","(D)","(D)",2,3,4,3,"(D)",5,4,3,2,1,"(NA)"
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","10","22","  Utilities",80,86,94,103,121,154,170,162,155,151,138,132,133,136,139
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","11","23","  Construction",362,377,502,617,741,866,803,638,477,418,369,353,388,422,448
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","12","31-33","  Manufacturing",529,527,576,634,722,770,756,653,568,627,626,626,712,741,787
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","13","...","   Durable goods manufacturing",397,390,430,488,572,609,585,498,412,461,445,438,507,548,588
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","14","321","    Wood products manufacturing",53,50,52,60,80,69,46,34,25,26,27,27,29,30,"(NA)"
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","15","327","    Nonmetallic mineral products manufacturing",18,19,26,27,41,64,68,31,22,22,21,28,43,57,"(NA)"
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","16","331","    Primary metals manufacturing","(D)","(D)","(D)",11,11,15,13,17,10,"(D)","(D)","(D)","(D)","(D)","(NA)"
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","17","332","    Fabricated metal products",75,77,83,82,108,102,99,80,81,84,74,81,86,92,"(NA)"
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","18","333","    Machinery manufacturing",29,37,33,36,42,47,54,57,44,33,36,39,50,58,"(NA)"
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","19","334","    Computer and electronic products manufacturing",75,74,80,101,111,130,154,159,147,176,162,146,162,165,"(NA)"
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","20","335","    Electrical equipment, appliance, and components manufacturing","(D)","(D)","(D)","(D)","(D)","(L)","(L)","(L)","(L)","(L)","(D)","(D)","(D)","(D)","(NA)"
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","21","3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","22","3364-3366, 3369","    Other transportation equipment manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",4,5,"(D)",4,4,"(NA)"
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","23","337","    Furniture and related products manufacturing",31,33,34,40,49,47,39,34,28,28,31,35,35,33,"(NA)"
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","24","339","    Miscellaneous manufacturing",12,12,16,18,20,25,15,19,16,18,9,8,18,18,"(NA)"
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","25","...","   Nondurable goods manufacturing",132,137,146,147,149,161,171,156,156,166,181,189,205,193,198
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","26","311-312","    Food and beverage and tobacco products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","27","313-314","    Textile mills and textile product mills","(D)","(D)",2,"(D)","(D)","(D)",3,"(D)","(D)","(D)",3,3,3,"(D)","(NA)"
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","28","315-316","    Apparel and leather and allied products manufacturing","(D)","(D)","(D)",4,4,3,1,1,1,"(L)","(L)","(L)",3,"(L)","(NA)"
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","29","322","    Paper products manufacturing",9,9,9,10,11,13,11,12,9,"(D)",12,12,"(D)",15,"(NA)"
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","30","323","    Printing and related support activities",5,5,4,4,5,5,5,5,4,4,3,3,4,4,"(NA)"
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","31","324","    Petroleum and coal products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","32","325","    Chemical products manufacturing",12,22,19,15,12,10,12,19,22,29,36,28,51,39,"(NA)"
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","33","326","    Plastics and rubber products manufacturing",63,57,56,56,60,62,58,43,36,33,31,41,34,36,"(NA)"
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","34","42","  Wholesale trade",247,251,291,345,407,445,465,434,395,407,406,422,439,433,444
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","35","44-45","  Retail trade",630,653,703,749,842,878,856,800,752,755,772,799,861,883,940
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","36","48-49","  Transportation and warehousing",131,137,131,139,151,194,198,188,160,166,179,205,208,222,235
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","37","481","   Air transportation","(L)","(D)","(D)","(L)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","38","482","   Rail transportation",2,2,2,2,2,2,2,2,2,2,2,2,3,3,"(NA)"
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","39","483","   Water transportation","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","40","484","   Truck transportation",101,107,98,98,103,109,111,110,92,90,102,121,113,126,"(NA)"
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","41","485","   Transit and ground passenger transportation",2,2,3,4,4,4,5,5,4,4,5,7,9,10,"(NA)"
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","42","486","   Pipeline transportation","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","43","487-488, 492","   Other transportation and support activities",22,23,25,"(D)","(D)",46,45,44,38,37,42,43,"(D)","(D)","(NA)"
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","44","493","   Warehousing and storage",3,2,2,1,3,31,27,"(D)",19,26,28,29,31,27,"(NA)"
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","45","51","  Information",105,118,133,150,265,264,259,260,239,224,225,212,143,147,144
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","46","511","   Publishing industries, except Internet (includes software)",27,"(D)","(D)","(D)","(D)",46,54,63,54,49,58,33,33,34,"(NA)"
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","47","512","   Motion picture and sound recording industries",6,6,8,9,6,7,6,6,5,6,5,"(D)","(D)",5,"(NA)"
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","48","515, 517","   Broadcasting and telecommunications",71,71,79,93,"(D)",198,191,181,171,160,155,168,99,"(D)","(NA)"
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","49","518, 519","   Data processing, internet publishing, and other information services",1,"(D)","(D)","(D)",9,13,9,10,9,8,7,"(D)","(D)","(D)","(NA)"
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","50","52, 53","  Finance, insurance, real estate, rental, and leasing",721,790,826,939,1114,1305,1364,1316,1143,1011,986,916,974,1005,1078
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","51","52","   Finance and insurance",218,273,272,267,307,353,359,325,303,225,218,240,244,264,272
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","52","521-522","    Federal Reserve banks, credit intermediation, and related services",130,193,176,169,184,220,230,230,180,116,113,119,120,130,"(NA)"
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","53","523","    Securities, commodity contracts, and investments",25,29,21,22,32,35,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",30,"(NA)"
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","54","524","    Insurance carriers and related activities",62,50,74,74,90,98,99,81,89,75,74,87,93,103,"(NA)"
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","55","525","    Funds, trusts, and other financial vehicles",1,1,1,1,1,1,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",1,"(NA)"
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","56","53","   Real estate and rental and leasing",503,517,555,672,807,952,1005,992,840,787,768,676,730,741,806
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","57","531","    Real estate",415,445,490,567,727,860,919,908,760,702,696,585,629,636,"(NA)"
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","58","532-533","    Rental and leasing services and lessors of intangible assets",88,72,64,105,80,92,86,83,80,85,72,91,101,105,"(NA)"
"36100","Ocala, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","59","54, 55, 56","  Professional and business services",334,376,420,448,462,500,505,502,460,456,457,477,537,588,588
