"GeoFIPS","GeoName","Region","ComponentId","ComponentName","IndustryId","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"28020","Kalamazoo-Portage, MI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","1","...","All industry total",9947,10908,11385,11515,11524,11911,12442,12507,12577,12784,13135,13345,13903,14307,14907
"28020","Kalamazoo-Portage, MI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","2","..."," Private industries",8671,9590,10033,10138,10090,10414,10883,10905,10969,11141,11530,11693,12237,12619,13208
"28020","Kalamazoo-Portage, MI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",241,238,"(D)","(D)","(D)","(D)","(D)"
"28020","Kalamazoo-Portage, MI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","4","111-112","   Farms",159,151,142,174,146,188,187,183,211,211,287,159,266,247,"(NA)"
"28020","Kalamazoo-Portage, MI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","5","113-115","   Forestry, fishing, and related activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",29,27,"(D)","(D)","(D)","(D)","(NA)"
"28020","Kalamazoo-Portage, MI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","6","21","  Mining","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",7,7,"(D)","(D)","(D)","(D)","(D)"
"28020","Kalamazoo-Portage, MI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","7","211","   Oil and gas extraction",1,1,1,2,2,4,2,3,2,2,2,2,2,2,"(NA)"
"28020","Kalamazoo-Portage, MI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","8","212","   Mining, except oil and gas","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",7,9,"(NA)"
"28020","Kalamazoo-Portage, MI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","9","213","   Support activities for mining","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"28020","Kalamazoo-Portage, MI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","10","22","  Utilities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",369,393,393
"28020","Kalamazoo-Portage, MI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","11","23","  Construction",447,471,461,476,501,495,489,464,409,411,420,451,486,532,598
"28020","Kalamazoo-Portage, MI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","12","31-33","  Manufacturing",2667,3071,3168,2924,2645,2641,2782,2617,2498,2580,2601,2778,2936,3000,3131
"28020","Kalamazoo-Portage, MI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","13","...","   Durable goods manufacturing",1130,1135,"(D)",1165,1233,1148,1366,1358,1105,1295,1366,1489,1582,1696,1799
"28020","Kalamazoo-Portage, MI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","14","321","    Wood products manufacturing",3,"(D)","(D)",2,2,"(D)",2,"(D)","(D)","(D)","(D)","(D)",1,2,"(NA)"
"28020","Kalamazoo-Portage, MI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","15","327","    Nonmetallic mineral products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"28020","Kalamazoo-Portage, MI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","16","331","    Primary metals manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",28,35,34,67,77,"(NA)"
"28020","Kalamazoo-Portage, MI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","17","332","    Fabricated metal products",141,138,146,155,163,157,166,151,129,145,154,161,148,165,"(NA)"
"28020","Kalamazoo-Portage, MI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","18","333","    Machinery manufacturing",130,128,131,141,155,154,158,163,139,161,193,197,231,239,"(NA)"
"28020","Kalamazoo-Portage, MI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","19","334","    Computer and electronic products manufacturing",23,17,16,14,14,16,19,18,17,14,17,15,17,18,"(NA)"
"28020","Kalamazoo-Portage, MI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","20","335","    Electrical equipment, appliance, and components manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"28020","Kalamazoo-Portage, MI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","21","3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",451,432,"(NA)"
"28020","Kalamazoo-Portage, MI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","22","3364-3366, 3369","    Other transportation equipment manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",6,7,8,"(NA)"
"28020","Kalamazoo-Portage, MI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","23","337","    Furniture and related products manufacturing",56,64,67,77,78,74,"(D)","(D)",70,61,65,"(D)","(D)","(D)","(NA)"
"28020","Kalamazoo-Portage, MI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","24","339","    Miscellaneous manufacturing",213,236,239,197,222,229,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",638,"(NA)"
"28020","Kalamazoo-Portage, MI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","25","...","   Nondurable goods manufacturing",1537,1937,"(D)",1759,1413,1493,1416,1259,1393,1285,1234,1289,1353,1304,1332
"28020","Kalamazoo-Portage, MI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","26","311-312","    Food and beverage and tobacco products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",264,"(D)","(NA)"
"28020","Kalamazoo-Portage, MI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","27","313-314","    Textile mills and textile product mills","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",2,2,"(NA)"
"28020","Kalamazoo-Portage, MI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","28","315-316","    Apparel and leather and allied products manufacturing","(D)","(D)","(D)","(D)","(D)",1,"(D)","(D)",1,"(L)","(L)","(L)","(L)","(L)","(NA)"
