"GeoFIPS","GeoName","Region","ComponentId","ComponentName","IndustryId","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"22380","Flagstaff, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","1","...","All industry total",3029,3220,3436,3650,3965,4421,4974,4967,4785,4842,4790,4850,5130,5274,5488
"22380","Flagstaff, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","2","..."," Private industries",2158,2342,2497,2673,2923,3330,3810,3727,3545,3519,3418,3429,3651,3748,3935
"22380","Flagstaff, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting","(D)",4,2,5,2,3,36,20,7,7,7,3,"(D)",14,14
"22380","Flagstaff, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","4","111-112","   Farms",14,1,"(L)",3,"(L)","(L)",33,17,4,3,4,1,4,11,"(NA)"
"22380","Flagstaff, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","5","113-115","   Forestry, fishing, and related activities","(D)",3,2,2,2,3,3,2,3,4,2,2,"(D)",3,"(NA)"
"22380","Flagstaff, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","6","21","  Mining","(D)",10,12,15,28,37,25,19,11,25,41,47,"(D)",54,45
"22380","Flagstaff, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","7","211","   Oil and gas extraction","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(NA)"
"22380","Flagstaff, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","8","212","   Mining, except oil and gas","(D)",10,12,15,28,37,25,"(D)",11,25,40,46,"(D)",53,"(NA)"
"22380","Flagstaff, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","9","213","   Support activities for mining","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(D)","(L)","(L)",1,1,1,1,"(NA)"
"22380","Flagstaff, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","10","22","  Utilities",43,39,35,21,20,22,23,24,25,26,30,28,88,58,54
"22380","Flagstaff, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","11","23","  Construction",139,167,181,221,259,303,334,254,185,162,145,142,146,152,156
"22380","Flagstaff, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","12","31-33","  Manufacturing",209,239,244,245,271,334,413,426,485,577,593,609,647,611,637
"22380","Flagstaff, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","13","...","   Durable goods manufacturing",132,155,169,176,198,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",527,505,522
"22380","Flagstaff, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","14","321","    Wood products manufacturing",5,5,6,6,7,6,5,4,2,2,2,2,2,4,"(NA)"
"22380","Flagstaff, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","15","327","    Nonmetallic mineral products manufacturing",2,2,6,"(D)",8,12,15,9,6,6,5,5,8,8,"(NA)"
"22380","Flagstaff, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","16","331","    Primary metals manufacturing","(D)","(D)","(D)","(D)","(L)","(D)",1,1,"(L)","(L)",1,"(L)","(L)","(L)","(NA)"
"22380","Flagstaff, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","17","332","    Fabricated metal products",4,7,7,9,10,9,13,12,11,10,15,10,11,9,"(NA)"
"22380","Flagstaff, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","18","333","    Machinery manufacturing",3,3,5,5,6,8,9,10,11,7,4,3,3,3,"(NA)"
"22380","Flagstaff, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","19","334","    Computer and electronic products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(L)","(L)","(L)","(D)","(D)","(NA)"
"22380","Flagstaff, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","20","335","    Electrical equipment, appliance, and components manufacturing","(D)","(L)","(L)","(L)","(L)","(L)","(D)","(D)","(D)","(D)",1,"(D)","(D)","(D)","(NA)"
"22380","Flagstaff, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","21","3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",2,"(D)","(D)","(D)","(D)","(NA)"
